Year,txtDSN,txtCSO,SumOfnumVolume,Events,txtWaterBody
2000,27a-1,Denny Way Local,15910000.00,10,Elliott Bay/Puget Sound
2000,27a-2,Denny Way Lake Union,141170000.00,26,Elliott Bay/Puget Sound
2000,27a-3,Interbay,4200000.00,5,Elliott Bay/Puget Sound
2001,003,Ballard,210000.00,2,Lake Washington Ship Canal
2001,004,11th Ave. NW,7710000.00,12,Lake Washington Ship Canal
2001,008,3rd Ave. W,1270000.00,14,Lake Washington Ship Canal
2001,009,Dexter,20670000.00,13,Lake Union
2001,015,University,22990000.00,5,Lake Washington Ship Canal
2001,028,King Street,29470000.00,14,Elliott Bay/Puget Sound
2001,030,Lander St.,86710000.00,11,Duwamish River/East Waterway
2001,032,Hanford #2,93262810.00,9,Duwamish River/East Waterway
2001,034,Duwamish E,30000.00,1,Duwamish River
2001,036,Chelan,2070035.00,7,Duwamish River/West Waterway
2001,037,Harbor Ave.,9490000.00,2,Duwamish River/West Waterway
2001,039,Michigan St.,31390000.00,12,Duwamish River
2001,041,Brandon St.,55620000.00,32,Duwamish River
2001,042,Michigan W,1890000.00,8,Duwamish River
2001,044a,Norfolk St.,770000.00,3,Duwamish River
2001,045,Henderson,21040000.00,12,Lake Washington
2001,048b,North Beach Inlet,2120000.00,11,Puget Sound
2001,27a-1,Denny Way Local,70000.00,1,Elliott Bay/Puget Sound
2001,27a-2,Denny Way Lake Union,246940000.00,42,Elliott Bay/Puget Sound
2001,27a-3,Interbay,36440000.00,13,Elliott Bay/Puget Sound
2002,003,Ballard,10000.00,1,Lake Washington Ship Canal
2002,004,11th Ave. NW,6770000.00,8,Lake Washington Ship Canal
2002,006,Magnolia S,2250000.00,5,Elliott Bay/Puget Sound
2002,008,3rd Ave. W,220000.00,4,Lake Washington Ship Canal
2002,009,Dexter,4720000.00,9,Lake Union
2002,014,Montlake,4002465.00,5,Lake Washington Ship Canal
2002,015,University,12220000.00,4,Lake Washington Ship Canal
2002,028,King Street,16980000.00,12,Elliott Bay/Puget Sound
2002,030,Lander St.,47730000.00,10,Duwamish River/East Waterway
2002,031a,Hanford @ Rainier,2710000.00,3,Duwamish River/East Waterway
2002,032,Hanford #2,77100000.00,11,Duwamish River/East Waterway
2002,034,Duwamish E,20000.00,1,Duwamish River
2002,036,Chelan,30000.00,2,Duwamish River/West Waterway
2002,039,Michigan St.,10310000.00,8,Duwamish River
2002,041,Brandon St.,22890000.00,21,Duwamish River
2002,042,Michigan W,170417.00,5,Duwamish River
2002,044a,Norfolk St.,180000.00,2,Duwamish River
2002,045,Henderson,3170000.00,10,Lake Washington
2002,048b,North Beach Inlet,670000.00,9,Puget Sound
2002,27a-1,Denny Way Local,11830000.00,13,Elliott Bay/Puget Sound
2002,27a-2,Denny Way Lake Union,164980000.00,30,Elliott Bay/Puget Sound
2002,27a-3,Interbay,43120000.00,15,Elliott Bay/Puget Sound
2003,003,Ballard,880000.00,4,Lake Washington Ship Canal
2003,004,11th Ave. NW,6566200.00,8,Lake Washington Ship Canal
2003,006,Magnolia S,39040000.00,18,Elliott Bay/Puget Sound
2003,008,3rd Ave. W,1370000.00,6,Lake Washington Ship Canal
2003,009,Dexter,33853330.00,15,Lake Union
2003,012,Belvoir,1110000.00,2,Lake Washington
2003,013,MLK Jr. Way,46190000.00,2,Lake Washington
2003,014,Montlake,69570000.00,11,Lake Washington Ship Canal
2003,015,University,90790000.00,4,Lake Washington Ship Canal
2003,028,King Street,34920000.00,16,Elliott Bay/Puget Sound
2003,030,Lander St.,293880000.00,12,Duwamish River/East Waterway
2003,031a,Hanford @ Rainier,32550000.00,6,Duwamish River/East Waterway
2003,032,Hanford #2,53520000.00,12,Duwamish River/East Waterway
2003,034,Duwamish E,20000.00,1,Duwamish River
2003,036,Chelan,3750000.00,3,Duwamish River/West Waterway
2003,037,Harbor Ave.,12950000.00,2,Duwamish River/West Waterway
2003,038,Terminal 115,4530000.00,2,Duwamish River
2003,039,Michigan St.,56300000.00,9,Duwamish River
2003,041,Brandon St.,54520000.00,28,Duwamish River
2003,042,Michigan W,1580000.00,4,Duwamish River
2003,044a,Norfolk St.,970000.00,2,Duwamish River
2003,045,Henderson,14180000.00,21,Lake Washington
2003,048b,North Beach Inlet,5300000.00,6,Puget Sound
2003,054,63rd Ave,1470000.00,2,Puget Sound
2003,056,Murray,5480000.00,3,Puget Sound
2003,057,Barton,2390000.00,3,Puget Sound
2003,27a-1,Denny Way Local,73630000.00,34,Elliott Bay/Puget Sound
2003,27a-2,Denny Way Lake Union,221090000.00,36,Elliott Bay/Puget Sound
2003,27a-3,Interbay,182310000.00,23,Elliott Bay/Puget Sound
2004,003,Ballard,250000.00,2,Lake Washington Ship Canal
2004,004,11th Ave. NW,1850000.00,6,Lake Washington Ship Canal
2004,006,Magnolia S,14960000.00,17,Elliott Bay/Puget Sound
2004,008,3rd Ave. W,16634799.00,4,Lake Washington Ship Canal
2004,009,Dexter,45724000.00,8,Lake Union
2004,012,Belvoir,230000.00,2,Lake Washington
2004,013,MLK Jr. Way,11570000.00,4,Lake Washington
2004,014,Montlake,34610000.00,5,Lake Washington Ship Canal
2004,015,University,38170000.00,4,Lake Washington Ship Canal
2004,028,King Street,21280000.00,15,Elliott Bay/Puget Sound
2004,029,Kingdome,1260000.00,2,Elliott Bay/Puget Sound
2004,030,Lander St.,35440000.00,9,Duwamish River/East Waterway
2004,031a,Hanford @ Rainier,10200000.00,8,Duwamish River/East Waterway
2004,032,Hanford #2,78230000.00,16,Duwamish River/East Waterway
2004,036,Chelan,190000.00,1,Duwamish River/West Waterway
2004,039,Michigan St.,9950000.00,6,Duwamish River
2004,041,Brandon St.,17270000.00,21,Duwamish River
2004,042,Michigan W,320000.00,1,Duwamish River
2004,045,Henderson,60000.00,1,Lake Washington
2004,048b,North Beach Inlet,2490000.00,6,Puget Sound
2004,056,Murray,560000.00,5,Puget Sound
